themes,notes,lines,song
1,,27,1
1,,54,1
1,,76,1
3,,2,2
3,,4,2
3,,5,2
3,,8,2
4,,22,2
4,,24,2
4,,26,2
5,,59,2
6,,4-8,3
6,,36-46,3
6,,51-52,3
6,,57-58,3
6,,84-93,3
7,,106-109,3
8,,115-118,3
1,,139,3
6,,143-147,3
7/6,,148-149,3
6,,151-161,3
10,,25,5
10,,34,5
10,,61-64,5
10,,75,5
7,,10,8
7,,13,8
7,,17,8
7,,19,8
11,,34,8
11,,57,8
3,,85,8
3,,87,8
3,,90,8
3,,104,8
3,,106,8
3,,108,8
3,,110,8
3,,114,8
3,,116,8
12,Dying/Living,127,8
6,,133-136,8
7/3,,146,8
7,,148-149,8
7,,151,8
13,,9-10,10
13,,23,10
13,,27,10
13,,60-61,10
13,,65,10
13,,87,10
14,,11,11
14,,25,11
14,,27,11
14,,29,11
1,,34,11
13,,52,11
13,,54,11
13,,56,11
14,,81,11
14,,106,11
14,,110-111,11
3,,20,12
3,,45,12
4,,51,12
1,,54,12
15,Love,7-11,13
1,,17-18,13
15,Death,26-30,13
1,,36-41,13
1,,43-46,13
1,,49-52,13
1,,54-57,13
5,,58,13
1,,59-62,13
1,,87-88,13
15,Life,89-91,13
1,,97-98,13
10,,1-2,14
3,,10,14
10,,23,14
5,,32,14
3,,53,14
3,,55,14
16,,66,14
3,,67,14
6,,73,14
17,,1-2,15
14,,6,15
3,,35,15
3,,39,15
17,,45-46,15
14,,4,16
3,,11,16
3,,17,16
8/10,,41,16
8,,42,16
10,,43,16
3,,47,16
10,,1-3,17
10,,15,17
10,,19-22,17
10/18,,23,17
18,,27,17
18,,31-32,17
19,,35,17
19,,39-40,17
18,,43-45,17
3,,29,18
3,,32,18
11,,39-43,18
16,,8,19
16,,13,19
16,,17-19,19
6,,16-20,20
8,,23-26,20
